ETS ROUBY AKSM ROUBY Tue Dec 19 2023 1700.csv,,ETS ROUBY,1702914688,60
Name,QUAI 2 expedition:   u17 Ther Air,QUAI 2 expedition:   U77 Ther Air B,SAS 3 huile:   u17 Ther Air,SAS 2 frais:   u17 Ther Air,SAS 1 stockage:   u17 Ther Air,CF NEG Evap 1 et 2:   u09 S5 Temperature,CF NEG Evap 1 et 2:   U82 EEV OD % B,CF NEG Evap 1 et 2:   u23 EEV OD %,CF NEG Evap 1 et 2:   u75 S5 Temperature B,CF NEG Evap 1 et 2:   u17 Ther Air,QUAI 1 reception:   u17 Ther Air,CF POSITIVE:   u17 Ther Air,DGS combles negative:   Gas Level ppm,DGS combles negative:   Gas Level %,DGS 2 combles milieu:   Gas Level ppm,DGS 3 combles quai 2:   Gas Level ppm,GAS COOLER:   Q06 Fan running,GAS COOLER:   P15 % fan for digita,GAS COOLER:   SD4 Mode expert,GAS COOLER:   A07 S4_Exch_AirOutle,GAS COOLER:   S02 % ventilation ma,GAS COOLER:   CF8 Sonde Sc4 T air,GAS COOLER:   Se2 Vitesse Min,GAS COOLER:   A03 Sc3_Outside_Temp,GAS COOLER:   ON  On/Off,GAS COOLER:   A05 External_Referen,GAS COOLER:   S07 Temp exterieure,GAS COOLER:   S06 Temp exterieure,AKPC ROUBY:   Pc,AKPC ROUBY:   Sgc,AKPC ROUBY:   Prec,AKPC ROUBY:   Condenser speed 1,AKPC ROUBY:   Cond. ctrl.,AKPC ROUBY:   Control sensor,AKPC ROUBY:   Trec,AKPC ROUBY:   Superheat MT,AKPC ROUBY:   Suction temp. To-LT,AKPC ROUBY:   Pc,AKPC ROUBY:   Po-MT,AKPC ROUBY:   Tc,AKPC ROUBY:   Po-BT,AKPC ROUBY:   Tc-LT,AKPC ROUBY:   Ss-BT,AKPC ROUBY:   Cond. control status,AKPC ROUBY:   Pgc,AKPC ROUBY:   Cond. temp.,AKPC ROUBY:   V3tw,AKPC ROUBY:   Tw pump speed,AKPC ROUBY:   Sd-MT,AKPC ROUBY:   Liq inj suc line IT,AKPC ROUBY:   Tw pump running,AKPC ROUBY:   Shp,AKPC ROUBY:   Stw8,AKPC ROUBY:   Suction temp. To-MT,AKPC ROUBY:   Heat reclaim state
Units,degc,degc,degc,degc,degc,degc,%,%,degc,degc,degc,degc,,%,,,,%,,,%,,%,,,,degc,degc,Bar,degc,Bar,%,degc,,degc,degc,degc,Bar,Bar,degc,Bar,degc,degc,,Bar,degc,,%,degc,,,degc,degc,degc,
Digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Sample Rate,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min
 17:00:00  18/12/2023,12.11,12.39,10.50,1.11,8.89,-20.50,52,21,-20.11,-20.11,11.78,1.89,557,2.70,472,593,1,3.00,0,3276.70,95.00,0,7.00,34.50,0,0.30,15.00,35.00,65.27,22.33,37.44,22.20,21.89,0,4.28,37.00,-27.11,59.88,30.59,23.00,14.35,-4.39,-11.89,11,62.35,21.78,1,81.40,92.89,0,0,23.33,42.94,-3.89,0
 17:01:00  18/12/2023,12.11,12.39,10.50,1.11,8.89,-20.50,52,21,-20.11,-20.11,11.78,1.89,557,2.70,472,593,1,3.00,0,3276.70,95.00,0,7.00,34.50,0,0.30,15.00,35.00,65.27,22.33,37.44,22.20,21.89,0,4.28,37.00,-27.11,59.88,30.59,23.00,14.35,-4.39,-11.89,11,62.35,21.78,1,81.40,92.89,0,0,23.33,42.94,-3.89,0
 17:02:00  18/12/2023,12.11,12.39,10.39,0.78,8.89,-20.39,52,22,-20.00,-20.22,11.78,1.39,561,2.80,485,594,0,3.00,0,3276.70,95.00,0,7.00,34.20,0,15.70,15.00,35.00,61.71,23.06,38.52,0.00,22.28,0,5.17,30.11,-27.06,64.69,27.20,26.28,14.39,-6.61,-12.11,5,63.87,21.94,0,0.00,94.33,0,0,24.44,42.94,-8.17,0
 17:03:00  18/12/2023,12.11,12.39,10.39,0.78,8.89,-20.39,52,22,-20.00,-20.22,11.78,1.39,561,2.80,485,594,0,3.00,0,3276.70,95.00,0,7.00,34.20,0,15.70,15.00,35.00,61.71,23.06,38.52,0.00,22.28,0,5.17,30.11,-27.06,64.69,27.20,26.28,14.39,-6.61,-12.11,5,63.87,21.94,0,0.00,94.33,0,0,24.44,42.94,-8.17,0
 17:04:00  18/12/2023,12.11,12.39,10.39,0.78,8.89,-20.50,51,22,-20.22,-20.22,11.78,1.39,561,2.80,485,594,0,3.00,0,3276.70,95.00,0,7.00,34.20,0,15.70,15.00,35.00,61.71,23.06,38.52,0.00,22.28,0,5.17,30.11,-27.06,64.69,27.20,26.28,14.39,-6.61,-12.11,5,63.87,21.94,0,0.00,94.33,0,0,24.44,42.89,-8.17,0
 17:05:00  18/12/2023,12.11,12.39,10.39,0.78,8.89,-20.50,51,22,-20.22,-20.22,11.78,1.39,561,2.80,485,594,0,3.00,0,3276.70,95.00,0,7.00,34.20,0,15.70,15.00,35.00,61.71,23.06,38.52,0.00,22.28,0,5.17,30.11,-27.06,64.69,27.20,26.28,14.39,-6.61,-12.11,5,63.87,21.94,0,0.00,94.33,0,0,24.44,42.89,-8.17,0
 17:06:00  18/12/2023,12.11,12.39,10.39,0.78,8.89,-20.28,51,21,-19.78,-20.22,11.78,1.39,561,2.80,485,594,0,3.00,0,3276.70,95.00,0,7.00,34.20,0,15.70,15.00,35.00,61.71,23.06,38.52,0.00,22.28,0,5.17,30.11,-27.06,64.69,27.20,26.28,14.39,-6.61,-12.11,5,63.87,21.94,0,0.00,94.33,0,0,24.44,42.94,-8.17,0
