ETS ROUBY AKSM ROUBY Tue Dec 19 2023 1700.csv;;ETS ROUBY;1702914688;60;;;;;;;;;;
Name;QUAI 2 expedition:   u17 Ther Air;QUAI 2 expedition:   U77 Ther Air B;SAS 3 huile:   u17 Ther Air;SAS 2 frais:   u17 Ther Air;SAS 1 stockage:   u17 Ther Air;CF NEG Evap 1 et 2:   u09 S5 Temperature;CF NEG Evap 1 et 2:   U82 EEV OD % B;CF NEG Evap 1 et 2:   u23 EEV OD %;CF NEG Evap 1 et 2:   u75 S5 Temperature B;CF NEG Evap 1 et 2:   u17 Ther Air;QUAI 1 reception:   u17 Ther Air;CF POSITIVE:   u17 Ther Air;DGS combles negative:   Gas Level ppm;AKPC ROUBY:   Heat reclaim state
Units;degc;degc;degc;degc;degc;degc;%;%;degc;degc;degc;degc;;
Digital;0;0;0;0;0;0;0;0;0;0;0;0;0;
Sample Rate;1 min;1 min;1 min;1 min;1 min;1 min;1 min;1 min;1 min;1 min;1 min;1 min;1 min;
 17:00:00  18/12/2023;12.11;12.39;10.50;1.11;8.89;-20.50;52;21;-20.11;-20.11;11.78;1.89;0;
 17:01:00  18/12/2023;12.11;12.39;10.50;1.11;8.89;-20.50;52;21;-20.11;-20.11;11.78;1.89;0;
 17:02:00  18/12/2023;12.11;12.39;10.39;0.78;8.89;-20.39;52;22;-20.00;-20.22;11.78;1.39;0;
 17:03:00  18/12/2023;12.11;12.39;10.39;0.78;8.89;-20.39;52;22;-20.00;-20.22;11.78;1.39;0;
 17:04:00  18/12/2023;12.11;12.39;10.39;0.78;8.89;-20.50;51;22;-20.22;-20.22;11.78;1.39;0;
 17:05:00  18/12/2023;12.11;12.39;10.39;0.78;8.89;-20.50;51;22;-20.22;-20.22;11.78;1.39;0;
 17:06:00  18/12/2023;12.11;12.39;10.39;0.78;8.89;-20.28;51;21;-19.78;-20.22;11.78;1.39;0;
 17:07:00  18/12/2023;12.11;12.39;10.39;0.78;8.89;-20.28;51;21;-19.78;-20.22;11.78;1.39;0;
 17:08:00  18/12/2023;12.11;12.39;10.39;0.78;8.89;-20.39;50;21;-20.11;-20.22;11.78;1.39;0;
 17:09:00  18/12/2023;12.11;12.39;10.39;0.78;8.89;-20.39;50;21;-20.11;-20.22;11.78;1.39;0;
 17:10:00  18/12/2023;12.11;12.39;10.39;0.78;8.89;-20.50;50;21;-20.22;-20.22;11.78;1.39;0;
 17:11:00  18/12/2023;12.11;12.39;10.39;0.78;8.89;-20.50;50;21;-20.22;-20.22;11.78;1.39;0;
 17:12:00  18/12/2023;12.11;12.39;10.39;1.50;8.78;-20.39;49;21;-20.11;-20.11;11.78;2.00;0;
 17:13:00  18/12/2023;12.11;12.39;10.39;1.50;8.78;-20.39;49;21;-20.11;-20.11;11.78;2.00;0;
 17:14:00  18/12/2023;12.11;12.39;10.39;1.50;8.78;-20.50;49;21;-20.22;-20.11;11.78;2.00;0;
